component_id,component_name,profile_section,required_evidence_record_roles,acceptable_evidence_types,resolved_state,evaluation_precedence,deterministic_predicate,required_provenance_predicate,missingness_handling,dependency_preservation,state_rationale_requirement
COMP_GENETIC_EVIDENCE,Genetic evidence,Biological Discovery Profile,FUTURE_GENETIC_CANCER_RECORD,EV_GENETIC_CANCER,CONFLICTING,1,"Qualifying genetic records report materially incompatible alteration-effect or disease relationships after harmonized allele, direction, cohort, and endpoint comparison.",Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_GENETIC_EVIDENCE,Genetic evidence,Biological Discovery Profile,FUTURE_GENETIC_CANCER_RECORD,EV_GENETIC_CANCER,OBSERVED,2,"At least one LUAD-relevant genetic alteration record passes its cohort/statistical QC, has complete variant/gene/disease provenance, and no material genetic conflict is present.",Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_GENETIC_EVIDENCE,Genetic evidence,Biological Discovery Profile,FUTURE_GENETIC_CANCER_RECORD,EV_GENETIC_CANCER,MISSING,3,"Every frozen genetic source in the component contract was successfully queried for the target/LUAD scope and returned no qualifying record, without UNKNOWN or failure states.",Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_GENETIC_EVIDENCE,Genetic evidence,Biological Discovery Profile,FUTURE_GENETIC_CANCER_RECORD,EV_GENETIC_CANCER,PARTIAL,4,"A genetic record or query exists but cohort relevance, alteration mapping, effect/statistical provenance, replication, or source coverage is incomplete.",Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_GENETIC_EVIDENCE,Genetic evidence,Biological Discovery Profile,FUTURE_GENETIC_CANCER_RECORD,EV_GENETIC_CANCER,NOT_QUERIED,5,No dedicated genetic evidence acquisition covered the target; this is the current Task #020 architecture state.,Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,Biological Discovery Profile,FUTURE_FUNCTIONAL_DEPENDENCY_RECORD,EV_FUNCTIONAL_CRISPR_DEPENDENCY,CONFLICTING,1,"Comparable, QC-qualified perturbation records show materially incompatible dependency direction or phenotype under the prespecified model/context comparison.",Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,Biological Discovery Profile,FUTURE_FUNCTIONAL_DEPENDENCY_RECORD,EV_FUNCTIONAL_CRISPR_DEPENDENCY,OBSERVED,2,At least one LUAD-relevant model-level dependency/perturbation record passes screen QC with complete model/reagent/effect provenance and no material conflict.,Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,Biological Discovery Profile,FUTURE_FUNCTIONAL_DEPENDENCY_RECORD,EV_FUNCTIONAL_CRISPR_DEPENDENCY,MISSING,3,"All frozen eligible functional sources and LUAD model scopes were queried successfully and returned no qualifying dependency record, without UNKNOWN/failure.",Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,Biological Discovery Profile,FUTURE_FUNCTIONAL_DEPENDENCY_RECORD,EV_FUNCTIONAL_CRISPR_DEPENDENCY,PARTIAL,4,"Some functional evidence exists but LUAD model coverage, reagent/assay QC, replicate support, effect definition, or provenance is incomplete.",Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,Biological Discovery Profile,FUTURE_FUNCTIONAL_DEPENDENCY_RECORD,EV_FUNCTIONAL_CRISPR_DEPENDENCY,NOT_QUERIED,5,No dedicated functional-dependency acquisition covered the target; this is the current Task #020 architecture state.,Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_PHARMACOLOGY,Pharmacology,Therapeutic Development Profile,CHEMBL_TARGET_ANNOTATION|OT_DRUG_CANDIDATE|FUTURE_CHEMBL_COMPOUND_TARGET,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,CONFLICTING,1,"Comparable compound-target records contain materially incompatible target assignment, mechanism, or normalized activity after assay-context harmonization.",Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_PHARMACOLOGY,Pharmacology,Therapeutic Development Profile,CHEMBL_TARGET_ANNOTATION|OT_DRUG_CANDIDATE|FUTURE_CHEMBL_COMPOUND_TARGET,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,OBSERVED,2,"At least one qualifying compound-target assay/mechanism record has complete target-confidence, activity, potency/unit, mechanism, compound/assay/source provenance and no material conflict.",Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_PHARMACOLOGY,Pharmacology,Therapeutic Development Profile,CHEMBL_TARGET_ANNOTATION|OT_DRUG_CANDIDATE|FUTURE_CHEMBL_COMPOUND_TARGET,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,MISSING,3,"All frozen pharmacology sources were successfully queried for a valid target mapping and returned no target annotation, candidate, or qualifying compound-target evidence, without UNKNOWN/failure.",Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_PHARMACOLOGY,Pharmacology,Therapeutic Development Profile,CHEMBL_TARGET_ANNOTATION|OT_DRUG_CANDIDATE|FUTURE_CHEMBL_COMPOUND_TARGET,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,PARTIAL,4,"Only target annotation or drug/candidate count records exist, or a compound record lacks required assay, potency, selectivity, mechanism, source lineage, or provenance completeness.",Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_PHARMACOLOGY,Pharmacology,Therapeutic Development Profile,CHEMBL_TARGET_ANNOTATION|OT_DRUG_CANDIDATE|FUTURE_CHEMBL_COMPOUND_TARGET,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,NOT_QUERIED,5,No valid target mapping or pharmacology acquisition was performed and no pharmacology record exists.,Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRACTABILITY,Tractability,Therapeutic Development Profile,OT_TRACTABILITY_SUMMARY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,CONFLICTING,1,Comparable source/version assessments assign materially incompatible modality states after accounting for release and bucket definitions; multiple modalities alone are not conflict.,Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRACTABILITY,Tractability,Therapeutic Development Profile,OT_TRACTABILITY_SUMMARY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,OBSERVED,2,"At least one source-native modality assessment record is present with target, modality, assessment/bucket, release, upstream-evidence provenance and no material conflict.",Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRACTABILITY,Tractability,Therapeutic Development Profile,OT_TRACTABILITY_SUMMARY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,MISSING,3,"The mapped target was queried for every frozen modality scope, retrieval completed, and no tractability assessment record was returned, without UNKNOWN/failure.",Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRACTABILITY,Tractability,Therapeutic Development Profile,OT_TRACTABILITY_SUMMARY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,PARTIAL,4,"A target/tractability object is represented but modality identity, assessment/bucket provenance, upstream lineage, or retrieval coverage is incomplete.",Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRACTABILITY,Tractability,Therapeutic Development Profile,OT_TRACTABILITY_SUMMARY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,NOT_QUERIED,5,No valid target mapping or tractability query was performed and no assessment record exists.,Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,"Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_SAFETY,Safety,Therapeutic Development Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,CONFLICTING,1,Traceable liability records provide materially incompatible on-target attribution or outcome interpretation under comparable exposure/context definitions.,Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Liability records can share datasource, study, publication, event, compound, or mechanism.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_SAFETY,Safety,Therapeutic Development Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,OBSERVED,2,At least one traceable safety-liability observation is present with liability/datasource/context provenance and no material attribution conflict.,Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Liability records can share datasource, study, publication, event, compound, or mechanism.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_SAFETY,Safety,Therapeutic Development Profile,OT_SAFETY_SUMMARY,EV_OT_SAFETY_LIABILITY,MISSING,3,"The mapped target was queried in every frozen safety source, retrieval completed, and no qualifying liability record was returned, without UNKNOWN/failure; this does not mean safe.",Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Liability records can share datasource, study, publication, event, compound, or mechanism.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
