dependency_id,record_a,record_b,relationship,dependency_level,reason,review_status
DEP_36CDC2C05BEAAB89C65191E9,REC_8EA1E070B2481D548BC40828,REC_41929481AC40526DCEADFED3,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_7BACD146D3530BF9AA414B0E,REC_8EA1E070B2481D548BC40828,REC_FF844E875CB8CDBC2B5BC471,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_13B36F75D6EC30BE548CE85E,REC_41929481AC40526DCEADFED3,REC_FF844E875CB8CDBC2B5BC471,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_DA5A7BD2A87A74B544C2317B,REC_70790DC191FE099B6C3E648A,REC_F944ED3ED8A71F41DCB21953,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_AFDA455BA29F2A754A7C9E5B,REC_92FEAA78B52565DA9044CF83,REC_58F6F44D4F76A2F33BC1453D,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_AFD478C2C5FBD24FC0B3DB34,REC_A5D6D47CDB43BF5D2214D6AC,REC_9152D8D57482D7AB42347C94,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_87D83F6762DC164706C39024,REC_A5D6D47CDB43BF5D2214D6AC,REC_C06C55F9394064CF197D7F83,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_C5E35ACD37B6078CA3771ECB,REC_9152D8D57482D7AB42347C94,REC_C06C55F9394064CF197D7F83,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_BEDD58CDA67116E8DE7D3A0E,REC_AF8301E808AC1B732C40969D,REC_060ACD8B215380D0813521BE,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_7C31E5AA5BDB4B01EA891B18,REC_9F6B7C905E118415914F2D2E,REC_FB56B13E18CC77A59DF26592,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_53F41018F0E1AB425FAFE46A,REC_31860B17971CB685DAFA96CD,REC_1716EE788E037A7603EF3CA9,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_766C5BF3A501F889E7D39D48,REC_31860B17971CB685DAFA96CD,REC_A3E649BD3258FA73DF693A81,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_2AD02C90CDBA4C528927C9F3,REC_1716EE788E037A7603EF3CA9,REC_A3E649BD3258FA73DF693A81,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_6EA6BD97F6C6BCBEB9F4A3D6,REC_1716EE788E037A7603EF3CA9,REC_CE99BF811E949E92F7B5D936,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_02FC062C9CC038646E6239A1,REC_CE99BF811E949E92F7B5D936,REC_A3E649BD3258FA73DF693A81,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_293780C38745DFB581E65F24,REC_9F3CA6A885319E36E20DDFC1,REC_7E38CEEEE62EB39F99863B30,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_01F2B9B0E22CE3772C7EF9D8,REC_3D39C255136961BBF047DE3C,REC_64E2FDEF03A1DCA2203C051E,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_3164103392DF7A81CBF1EA41,REC_9FA371EF45360206AA23A8F9,REC_AD1D0415D648ACD578F90EA7,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_9B9B134FDCF0931B837F0A30,REC_F7834E1F47FC64F72A4E75D9,REC_C4AC1A698C6B70961F8E7FD3,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_E690C47B98112E11A787B161,REC_F7834E1F47FC64F72A4E75D9,REC_266FBB9933CD4584424C3EBF,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_4CDCB6ECE656F449AA2BDFC0,REC_C4AC1A698C6B70961F8E7FD3,REC_266FBB9933CD4584424C3EBF,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_7706C4AC46D336EA1F7C5B47,REC_AFA2A576371F5803767CD1A9,REC_3462258D659365F92A14F1EE,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_7602D23BA7A4E2D6E2F50E5D,REC_4B44BD0AD036A69241265D8D,REC_BC63E49897674968CD9F046A,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_5B029ED8D27EC4E3F1D3A793,REC_4B44BD0AD036A69241265D8D,REC_86B7828D2C8438F0C8303BC1,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_48F17E7A401FA0F436D9F6A3,REC_BC63E49897674968CD9F046A,REC_86B7828D2C8438F0C8303BC1,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_C0C22939DA712EBFF39F902F,REC_2973EB953CED8ECF673E6FB6,REC_A123A6ABDDF75EF6AE47744B,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_5CB19A49953A662DDBB97E95,REC_DC082C4DAFDED9DE3BD853A6,REC_7B041D98B359E26B197F23F5,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_63710872CF85B8C08C6C75A2,REC_DC082C4DAFDED9DE3BD853A6,REC_FFFEB3EFA2C79CCA2CCC9C8A,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_43E720EDE3AD26CE3D611E67,REC_7B041D98B359E26B197F23F5,REC_FFFEB3EFA2C79CCA2CCC9C8A,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_F9695B0BE03011450144BA3F,REC_45D459CD8981832CCB2E5CB0,REC_68B87418151250FA8563380C,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_F259C743B5FC4DEC579E4795,REC_DABFBB6480D772B773E95E67,REC_EA34B4F7BFFD7562541E510B,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_6AC4C3C7A7A12C1EDA2D5DA5,REC_DABFBB6480D772B773E95E67,REC_92648C7D9EEE54EDD7984C2D,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_73C9BC24C354E1E71DBF9EBA,REC_EA34B4F7BFFD7562541E510B,REC_92648C7D9EEE54EDD7984C2D,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_E24A93F1FD2653BF44C7329F,REC_EA34B4F7BFFD7562541E510B,REC_90F82B177B691B279FA9DA37,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_A8905726A1F04D765F0297DC,REC_90F82B177B691B279FA9DA37,REC_92648C7D9EEE54EDD7984C2D,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_F1CD7838B8B2125A38CD4521,REC_993F229BFBE0E4C7EE90AE9F,REC_EED57DB9B650967F486327A9,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_9D0EC8314CA32C4570FAE130,REC_EB3FE1D221A2E31AF7A1288C,REC_82AE3F5502BFB108CE0582FD,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_BD10325D7742B7704784AE67,REC_B116E3CEF7410278AF0D8CA1,REC_35D80DB06B1232483199564D,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_9CD3E1AA9C7EE5D6F3837765,REC_49C31111365EDA917667EC74,REC_0F0800E1310C527DDC21C1E2,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_2708BE2279FBD6269AD0EAC4,REC_49C31111365EDA917667EC74,REC_C9BE388E0599B5D3F000B3D6,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_BCA2D9B213532592300EADF7,REC_0F0800E1310C527DDC21C1E2,REC_C9BE388E0599B5D3F000B3D6,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_6F1FC213183A50037E8CF0E5,REC_B099633A870748F527231894,REC_4D9606E17B0E825089078BFC,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_762583B0CE024AAC7A318902,REC_BBD9D162C8A815CF3807313E,REC_0F1693B4B405B9A3916A023F,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_102CFF517CF2D3A8568BDDAE,REC_BBD9D162C8A815CF3807313E,REC_B5F0583CC91BC6FD007B4352,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_4237A09DA9A41B7CF5B4358B,REC_0F1693B4B405B9A3916A023F,REC_B5F0583CC91BC6FD007B4352,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_6F6AF42E514CB8352C89882B,REC_0F1693B4B405B9A3916A023F,REC_375DBA9F4B920FDD4B2AC119,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_73637FB0213CE7D824FEBD26,REC_375DBA9F4B920FDD4B2AC119,REC_B5F0583CC91BC6FD007B4352,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_72917F44F157D2B39142817A,REC_996A32A417053DF98AD23639,REC_BDE8FD2F45C887ADD4E39236,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_3C3D362A73AF9A7AB864B7D0,REC_04A7EC4443A55871BDEA6815,REC_3F13C65034D68766064E275D,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_A37D53B32822D3A213C624C7,REC_04A7EC4443A55871BDEA6815,REC_5CD6C85739CB0A1A4C07D0C8,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_A03DC71D378DC8528FAF1AAC,REC_04A7EC4443A55871BDEA6815,REC_A69E39CE91D25F30B8CF5D59,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and safety records share the Open Targets delivery source and may share target annotations or literature.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_0051414B7DB3E6773F83299A,REC_3F13C65034D68766064E275D,REC_5CD6C85739CB0A1A4C07D0C8,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_C8A3862AAE718EC3B99BBFF9,REC_3F13C65034D68766064E275D,REC_A69E39CE91D25F30B8CF5D59,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate and safety summaries share a Platform release; exact upstream record overlap is unresolved.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_C58680F95D707C25D863C848,REC_5CD6C85739CB0A1A4C07D0C8,REC_A69E39CE91D25F30B8CF5D59,SAME_SOURCE,PARTIALLY_DEPENDENT,Tractability and safety are separate blocks but share the Open Targets target object and may reference overlapping pharmacology or literature.,REVIEWED_TASK013
DEP_36602D31F83570A9AC560E6B,REC_3F13C65034D68766064E275D,REC_BE33FDD076365E332F433705,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_16E8CA402A33A15F37EECA5A,REC_BE33FDD076365E332F433705,REC_5CD6C85739CB0A1A4C07D0C8,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_072CCA112402187FA75565F3,REC_C45129A6C02C6BD5C3586E3B,REC_720AE3249CEC6F4DB258CA63,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_0FBBF5183A0950A8D51CE9D6,REC_E02C5B9D845F5CDCAB500DE7,REC_9646E6D722882C45F1CAD301,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_E3EEC2094BB6A7BAEB5B5761,REC_E02C5B9D845F5CDCAB500DE7,REC_28B6F557FF7992398C6DAE98,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_45446AC0A0ABDCBE69335ECE,REC_9646E6D722882C45F1CAD301,REC_28B6F557FF7992398C6DAE98,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_0FAAA826E82678540C3EA68F,REC_E55E2F7DFC12618E957288BF,REC_95D8EA4AA8872FC2A1E5C32D,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_EB6E25DF43C14284BDA2DCC2,REC_BA759E5A4F5C9CF48A822194,REC_66F2642C4BCEE3BC4A99CCC7,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_721BB7472BD0B589F1B490E8,REC_BA759E5A4F5C9CF48A822194,REC_200D1EABEC4C4EFB1075356B,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_99D66FBCAD4056CF99C70A45,REC_66F2642C4BCEE3BC4A99CCC7,REC_200D1EABEC4C4EFB1075356B,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_0C0234D879B21E5BB636D51E,REC_66F2642C4BCEE3BC4A99CCC7,REC_60B8D78F04CE125696471914,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_256C766CB53B83777D8201EB,REC_60B8D78F04CE125696471914,REC_200D1EABEC4C4EFB1075356B,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_5B102B6659C4D641FFD427E2,REC_658C4B02D1ED61501F9813FC,REC_5B536F337F993B089E5F5071,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_6DC8B15F398EB5DC5E7BB873,REC_77DBDF0BFFD02BE056DAEB90,REC_4E26C42182291CFB3E0CB218,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_EEC95AF9ABEF79050D7DBC89,REC_77DBDF0BFFD02BE056DAEB90,REC_8DBC449637E5C7D33A2E5688,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_60C0CFB8CDA49BA047BEF239,REC_4E26C42182291CFB3E0CB218,REC_8DBC449637E5C7D33A2E5688,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_0AD4FFF66CB1BBE2E0DF90C9,REC_1EA4159B8288EFDED3291F37,REC_D3CA3BF91D3F451B9CFFBD16,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_8C2431E0D6866CAE969C1389,REC_BBFA260B76C16F145015ADE3,REC_CF9E792E2048EFD9CF6FE3A3,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_EF1C8476A0B69D6AE108B81B,REC_5374FC0ABA056BE341B400BE,REC_D0DE5EFE5D9B87D322C3B965,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_B609799F233CED2FC05F7B51,REC_16D3CC6E5B53007F2FD41B40,REC_FD593BCF22368E508277374A,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_B699BEBA425C0D8C80E16E4A,REC_16D3CC6E5B53007F2FD41B40,REC_F5B6A2DC22F01C8F8B4BBB37,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_AE599CFA15DB4CAD191FA3FC,REC_FD593BCF22368E508277374A,REC_F5B6A2DC22F01C8F8B4BBB37,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_A9647CB1A7FBF8797274B3E5,REC_4EECC5B2800E68B1E36C3058,REC_BDE36CB253E09B58C7AF2653,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_EBA7A5D2A92067BB8C15B024,REC_76E501CC3236C563C8DF8E77,REC_814B7EFA4D188A8AD509906F,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_0E8CFB01647AD88EB053026D,REC_76E501CC3236C563C8DF8E77,REC_EAB85FDADCAFE719154B38FD,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_440288C9C09D543157EB37A8,REC_814B7EFA4D188A8AD509906F,REC_EAB85FDADCAFE719154B38FD,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_BF62345B97D484CF25E4AEEC,REC_745A7EDD07B8C67EAA196573,REC_3AA20456696401125A44A8B9,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_3109C4E11319321848DE9DC6,REC_FE608DEDDAAFEAB2D777AC14,REC_12C0E0F3C6520AD83D349095,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_F4BC2292A85E3BB06074A0A2,REC_FE608DEDDAAFEAB2D777AC14,REC_5CB6469E5397C5E6C083A5E9,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_255BE0BC348AF2A9D64B4C5D,REC_12C0E0F3C6520AD83D349095,REC_5CB6469E5397C5E6C083A5E9,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
