provisional_system_id,canonical_name,aliases,candidate_categories,candidate_kind,target_level_relevance,first_party_source_candidate_ids,version_or_snapshot_information,discovery_evidence_source_ids,discovery_search_event_ids,reason_for_retaining_candidate,discovery_only_no_capability_coding,assistance_mode
P2SYS_8FEAD685D44DD95C1E6C,Attention is not all you need: the complicated case of ethically using large language models in healthcare and medicine,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_B4C5B1D1D530028F9077,P2E1B_OPENALEX_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_A9413912B9035C58C491,Biological applications of knowledge graph embedding models,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_6A27D93C2B856B7B524B,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_59C82B5FBE4392B85ACF,Biomedical knowledge graph-optimized prompt generation for large language models,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_6F64EE3ED61BC51C208F,P2E1B_OPENALEX_03|P2E1B_PUBMED_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_8DA2584986C387A41DE4,Building a knowledge graph to enable precision medicine,NONE_RECORDED,CAT_01|CAT_03|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_3B111E6A7F36E8A9ADF1,P2E1B_OPENALEX_03|P2E1B_OPENALEX_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_E6403BE51A567D401F1B,"ChatGPT Utility in Healthcare Education, Research, and Practice: Systematic Review on the Promising Perspectives and Valid Concerns",NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_8C46D25A4DF4CB2B75A4,P2E1B_OPENALEX_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_8824BFF6A219C55BC17C,Constructing knowledge graphs and their biomedical applications,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_70E902B6E98600A2F027,P2E1B_OPENALEX_03|P2E1B_PUBMED_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_6E62883146923875FF81,Convolutional 2D Knowledge Graph Embeddings,NONE_RECORDED,CAT_01|CAT_03|CAT_04|CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_5C0E45CB88946A290517,P2E1B_OPENALEX_06|P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_A765B65D239D583B3B81,Discovering protein drug targets using knowledge graph embeddings,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_813C5928A9F56606A6DF,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_C9BCC8307A9C66ED4A0A,DisGeNET,disgenet,CAT_01|CAT_03,IMPLEMENTED_SYSTEM,DIRECT,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_ACEE97D8FD4568641690,P2E1B_OPENALEX_11,CANONICAL_NAME_OR_ALIAS_PRESENT_IN_CAPTURED_PILOT_SOURCE,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_0A4F154855D917827ABF,Drug target discovery using knowledge graph embeddings,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_476DD9890CDB6C548585,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_DD025B611746D71EF691,Drug-target interaction prediction using knowledge graph embedding,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_C26C7E8F1AFB802BE9B5,P2E1B_PUBMED_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_DBB965EA5BA911D79606,"Drug–target interaction prediction: databases, web servers and computational models",NONE_RECORDED,CAT_01,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_E9F98030E6AEB2A0685F,P2E1B_OPENALEX_01,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_D6B9E4D404FF04A522BC,Framework for the treatment and reporting of missing data in observational studies: The Treatment And Reporting of Missing data in Observational Studies framework,NONE_RECORDED,CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_269C6277DEA4CC984FEC,P2E1B_OPENALEX_09|P2E1B_PUBMED_09,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_F6CFE50FA8C654EF4C59,Generative artificial intelligence: a systematic review and applications,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_51C8625D8FCE8020FF24,P2E1B_OPENALEX_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_8A238B61D5B33FD13081,Heterogeneous Multi-Layered Network Model for Omics Data Integration and Analysis,NONE_RECORDED,CAT_01,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_E527AE65C89823E2A119,P2E1B_OPENALEX_01,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_ADE52474C1F2337AA048,Holographic Embeddings of Knowledge Graphs,NONE_RECORDED,CAT_01|CAT_03|CAT_04,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_DBA4EEFF86CF788D29C7,P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_AF1F60277B0638F1CCAD,K-BERT: Enabling Language Representation with Knowledge Graph,NONE_RECORDED,CAT_01|CAT_03|CAT_04,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_930D47F67EC77AD6C562,P2E1B_OPENALEX_03|P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_2C31F046338AD51972EB,Knowledge Graphs,NONE_RECORDED,CAT_01|CAT_03|CAT_04|CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_6544B032AF2539B99A23,P2E1B_OPENALEX_03|P2E1B_OPENALEX_06|P2E1B_OPENALEX_09|P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_5E92EAFBAD36BD3ACEB9,Knowledge graphs and their applications in drug discovery,NONE_RECORDED,CAT_01|CAT_03|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_2B31C5BF38A85B085097,P2E1B_PUBMED_03|P2E1B_PUBMED_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_BFB6BD67A316DC64689A,Knowledge graphs as tools for explainable machine learning: A survey,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_3E96F8386F7FD4DF7E9F,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_4D5695EC2FAEC79F1452,Knowledge Graphs: Opportunities and Challenges,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_83F8B907229E51C4FB1D,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_7CA1BB337EAF4EFEE6C8,Large language model powered knowledge graph construction for mental health exploration,NONE_RECORDED,CAT_01|CAT_03|CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_0F655238083E95D6920B,P2E1B_PUBMED_03|P2E1B_PUBMED_12,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_275B90D30D554C973036,"Large language models (LLMs): survey, technical frameworks, and future challenges",NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_34BD031D09F8CA02B355,P2E1B_OPENALEX_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_540F4A984FC7B495F2C7,Machine Learning Methods in Drug Discovery,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_DFE69E0923FA0F45D85E,P2E1B_OPENALEX_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_B392C54E02050596A527,Multiplatform-Integrated Identification of Melatonin Targets for a Triad of Psychosocial-Sleep/Circadian-Cardiometabolic Disorders,NONE_RECORDED,CAT_01|CAT_02,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_60134AD3AC1AD0D73AA4,P2E1B_OPENALEX_02|P2E1B_PUBMED_02,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_D0342EC7CA02F1E26EEA,Nanopublications,nanopublication|nanopublications,CAT_04|CAT_05,PROVENANCE_MODEL_OR_STANDARD,ADJACENT,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_712C55C760E7FAC8E73E|P2SRC_90CADD749696E72A8800|P2SRC_B81C34C0D07C033F554C,P2E1B_OPENALEX_11|P2E1B_PUBMED_11,CANONICAL_NAME_OR_ALIAS_PRESENT_IN_CAPTURED_PILOT_SOURCE,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_81BB0DE5EAB9801FFD6C,Neuro-symbolic representation learning on biological knowledge graphs,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_C895B6F537F5E3EEF3F9,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_80EA307F50367C93C7EE,New WHO prevalence estimates of mental disorders in conflict settings: a systematic review and meta-analysis,NONE_RECORDED,CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_D8A1CF71908D2E95498B,P2E1B_OPENALEX_06|P2E1B_PUBMED_06,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_88111AFDF2554AE0F9E7,Open Targets Platform,open targets platform|open targets genetics,CAT_01|CAT_02,IMPLEMENTED_SYSTEM,DIRECT,P2SRC_A1CFB2EBB1769170228A|P2SRC_0CE0D10AAA280E1CDBD2|P2SRC_42D4E4B5DBE8EA11A2CD|P2SRC_045B0368618EE23E4995|P2SRC_FBB43F6E718A94BA4A7D|P2SRC_9EC023124F064679E83D|P2SRC_B6509F16CB8CFA482506|P2SRC_DD709BCA2B75C94C791B|P2SRC_07F9DA61254A332848DE|P2SRC_9FF0B1B4B13D1B0C5DF6|P2SRC_B4184D317D557FF07702,GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:README.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:associations.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:citation.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:data-access/README.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:data-access/datasets.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:data-access/graphql-api.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:evidence.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:getting-started.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:release-notes.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:web-interface/associations-on-the-fly.md|GITHUB:opentargets/platform-docs@a919391c50ca40dc65b30b4a5a14cb275b54f8ad:web-interface/evidence-pages.md,P2SRC_045B0368618EE23E4995|P2SRC_05BAA1C4D341E4A81B3D|P2SRC_07F9DA61254A332848DE|P2SRC_0CE0D10AAA280E1CDBD2|P2SRC_1B93CD63C67EF0BA8D1E|P2SRC_3005918C76D161642E47|P2SRC_3CFEF739BF3303367DFA|P2SRC_42D4E4B5DBE8EA11A2CD|P2SRC_4A2B502DB401878691A6|P2SRC_58B3F5C5CF32E7FE7031|P2SRC_73F0C0F633F90337FB7D|P2SRC_9EC023124F064679E83D|P2SRC_9FF0B1B4B13D1B0C5DF6|P2SRC_A1CFB2EBB1769170228A|P2SRC_AC6F14004A45DFC71B69|P2SRC_B4184D317D557FF07702|P2SRC_B6509F16CB8CFA482506|P2SRC_C4F2F8A9C25E04B7A0F3|P2SRC_CCF3AB7C139CE8721A57|P2SRC_D1D0AE9F175C4B161BCC|P2SRC_DD709BCA2B75C94C791B|P2SRC_EA302054619EAB903A77|P2SRC_FBB43F6E718A94BA4A7D,P2E1B_OPENALEX_01|P2E1B_OPENALEX_02|P2E1B_OPENALEX_07|P2E1B_OTDOC_01|P2E1B_OTDOC_02|P2E1B_OTDOC_03|P2E1B_OTDOC_04|P2E1B_OTDOC_05|P2E1B_OTDOC_06|P2E1B_OTDOC_07|P2E1B_OTDOC_08|P2E1B_OTDOC_09|P2E1B_OTDOC_10|P2E1B_OTDOC_11|P2E1B_PUBMED_02|P2E1B_PUBMED_07,CANONICAL_NAME_OR_ALIAS_PRESENT_IN_CAPTURED_PILOT_SOURCE,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_73948FB2DDE133705F5F,PharmKG,pharmkg,CAT_03,IMPLEMENTED_SYSTEM,DIRECT,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_F012B4A3B7FC0134C9FD,P2E1B_OPENALEX_03,CANONICAL_NAME_OR_ALIAS_PRESENT_IN_CAPTURED_PILOT_SOURCE,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_173598A6B1533E4E46D0,Preferred Reporting Items for a Systematic Review and Meta-analysis of Individual Participant Data,NONE_RECORDED,CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_EC12A5E3501345FC6D25,P2E1B_OPENALEX_06,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
